"poll_id","pollster_id","pollster","sponsor_ids","sponsors","display_name","pollster_rating_id","pollster_rating_name","fte_grade","methodology","state","start_date","end_date","sponsor_candidate_id","sponsor_candidate","sponsor_candidate_party","question_id","sample_size","population","subpopulation","population_full","tracking","created_at","notes","url","source","internal","partisan","race_id","cycle","office_type","seat_number","seat_name","election_date","stage","nationwide_batch","ranked_choice_reallocated","party","answer","candidate_id","candidate_name","pct","cd_fips","st_fips","st_cd_fips"
79647,324,"Moore Information",452,"NRCC","Moore Information",217,"Moore Information","B/C","Live Phone","California","8/3/22","8/7/22",30382,"John Duarte","REP",159301,400,"lv",NA,"lv",NA,"8/9/22 15:36",NA,"https://www.politico.com/news/2022/08/09/house-gop-polls-biden-00050458",NA,TRUE,"REP",9024,2022,"U.S. House",13,"District 13","11/8/22","general",FALSE,FALSE,"DEM","Gray",29399,"Adam Gray",47,"13","06","0613"
79647,324,"Moore Information",452,"NRCC","Moore Information",217,"Moore Information","B/C","Live Phone","California","8/3/22","8/7/22",30382,"John Duarte","REP",159301,400,"lv",NA,"lv",NA,"8/9/22 15:36",NA,"https://www.politico.com/news/2022/08/09/house-gop-polls-biden-00050458",NA,TRUE,"REP",9024,2022,"U.S. House",13,"District 13","11/8/22","general",FALSE,FALSE,"REP","Duarte",30382,"John Duarte",43,"13","06","0613"
79707,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"California","7/30/22","8/5/22",NA,NA,NA,159460,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20CA22%20Toplines.pdf",NA,FALSE,NA,9033,2022,"U.S. House",22,"District 22","11/8/22","general",FALSE,FALSE,"DEM","Salas",29409,"Rudy Salas",39,"22","06","0622"
79707,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"California","7/30/22","8/5/22",NA,NA,NA,159460,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20CA22%20Toplines.pdf",NA,FALSE,NA,9033,2022,"U.S. House",22,"District 22","11/8/22","general",FALSE,FALSE,"REP","Valadao",28952,"David G. Valadao",34,"22","06","0622"
79708,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Iowa","7/29/22","8/5/22",NA,NA,NA,159462,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20IA03%20Toplines.pdf",NA,FALSE,NA,9152,2022,"U.S. House",3,"District 3","11/8/22","general",FALSE,FALSE,"DEM","Axne",28652,"Cindy Axne",41,"03","19","1903"
79708,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Iowa","7/29/22","8/5/22",NA,NA,NA,159462,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20IA03%20Toplines.pdf",NA,FALSE,NA,9152,2022,"U.S. House",3,"District 3","11/8/22","general",FALSE,FALSE,"REP","Nunn",28651,"Zach Nunn",49,"03","19","1903"
79710,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Michigan","7/28/22","8/4/22",NA,NA,NA,159464,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20MI08%20Toplines.pdf",NA,FALSE,NA,9202,2022,"U.S. House",8,"District 8","11/8/22","general",FALSE,FALSE,"DEM","Kildee",29102,"Daniel T. Kildee",43,"08","26","2608"
79710,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Michigan","7/28/22","8/4/22",NA,NA,NA,159464,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20MI08%20Toplines.pdf",NA,FALSE,NA,9202,2022,"U.S. House",8,"District 8","11/8/22","general",FALSE,FALSE,"REP","Junge",29675,"Paul Junge",40,"08","26","2608"
79645,178,"Global Strategy Group",NA,NA,"Global Strategy Group",118,"Global Strategy Group","B/C",NA,"Colorado","7/26/22","8/2/22",29456,"Yadira Caraveo","DEM",159298,500,"lv",NA,"lv",NA,"8/9/22 14:37",NA,"https://coloradosun.com/2022/08/09/barbara-kirkmeyer-yadira-caraveo-poll-8th-district/",NA,TRUE,"DEM",9448,2022,"U.S. House",8,"District 8","11/8/22","general",FALSE,FALSE,"DEM","Caraveo",29456,"Yadira Caraveo",42,"08","08","0808"
79645,178,"Global Strategy Group",NA,NA,"Global Strategy Group",118,"Global Strategy Group","B/C",NA,"Colorado","7/26/22","8/2/22",29456,"Yadira Caraveo","DEM",159298,500,"lv",NA,"lv",NA,"8/9/22 14:37",NA,"https://coloradosun.com/2022/08/09/barbara-kirkmeyer-yadira-caraveo-poll-8th-district/",NA,TRUE,"DEM",9448,2022,"U.S. House",8,"District 8","11/8/22","general",FALSE,FALSE,"REP","Kirkmeyer",30512,"Barbara Kirkmeyer",44,"08","08","0808"
79691,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"California","7/26/22","8/2/22",NA,NA,NA,159436,400,"lv",NA,"lv",NA,"8/11/22 9:32",NA,"https://www.termlimits.com/library/USTL%20CA13%20Toplines.pdf",NA,FALSE,NA,9024,2022,"U.S. House",13,"District 13","11/8/22","general",FALSE,FALSE,"DEM","Gray",29399,"Adam Gray",37,"13","06","0613"
79691,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"California","7/26/22","8/2/22",NA,NA,NA,159436,400,"lv",NA,"lv",NA,"8/11/22 9:32",NA,"https://www.termlimits.com/library/USTL%20CA13%20Toplines.pdf",NA,FALSE,NA,9024,2022,"U.S. House",13,"District 13","11/8/22","general",FALSE,FALSE,"REP","Duarte",30382,"John Duarte",37,"13","06","0613"
79622,187,"Greenberg Quinlan Rosner",NA,NA,"GQR Research",126,"GQR Research (GQRR)","B","Live Phone","Minnesota","7/28/22","8/1/22",29112,"Dean Phillips","DEM",159252,507,"lv",NA,"lv",NA,"8/5/22 9:06",NA,"https://drive.google.com/file/d/1z9F9JSS59vjXcXRc1d_1zsPFhekhuKs3/view",NA,TRUE,"DEM",9211,2022,"U.S. House",3,"District 3","11/8/22","general",FALSE,FALSE,"DEM","Phillips",29112,"Dean Phillips",57,"03","27","2703"
79622,187,"Greenberg Quinlan Rosner",NA,NA,"GQR Research",126,"GQR Research (GQRR)","B","Live Phone","Minnesota","7/28/22","8/1/22",29112,"Dean Phillips","DEM",159252,507,"lv",NA,"lv",NA,"8/5/22 9:06",NA,"https://drive.google.com/file/d/1z9F9JSS59vjXcXRc1d_1zsPFhekhuKs3/view",NA,TRUE,"DEM",9211,2022,"U.S. House",3,"District 3","11/8/22","general",FALSE,FALSE,"REP","Weiler",29687,"Tom Weiler",36,"03","27","2703"
79706,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Texas","7/23/22","8/1/22",NA,NA,NA,159459,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20TX34%20Toplines.pdf",NA,FALSE,NA,9391,2022,"U.S. House",34,"District 34","11/8/22","general",FALSE,FALSE,"DEM","Gonzalez",28886,"Vicente Gonzalez",47,"34","48","4834"
79706,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Texas","7/23/22","8/1/22",NA,NA,NA,159459,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20TX34%20Toplines.pdf",NA,FALSE,NA,9391,2022,"U.S. House",34,"District 34","11/8/22","general",FALSE,FALSE,"REP","Flores",28885,"Mayra Flores",43,"34","48","4834"
79711,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Illinois","7/23/22","7/31/22",NA,NA,NA,159465,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20IL08%20Toplines.pdf",NA,FALSE,NA,9130,2022,"U.S. House",8,"District 8","11/8/22","general",FALSE,FALSE,"DEM","Krishnamoorthi",29040,"Raja Krishnamoorthi",45,"08","17","1708"
79711,1554,"RMG Research",1054,"United States Term Limits","RMG Research",555,"RMG Research","B-",NA,"Illinois","7/23/22","7/31/22",NA,NA,NA,159465,400,"lv",NA,"lv",NA,"8/11/22 11:57",NA,"https://www.termlimits.com/library/USTL%20IL08%20Toplines.pdf",NA,FALSE,NA,9130,2022,"U.S. House",8,"District 8","11/8/22","general",FALSE,FALSE,"REP","Dargis",30516,"Chris Dargis",39,"08","17","1708"
