poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
56821,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,314,St. Pete Polls,B+,IVR,Florida,11/5/18,11/5/18,,,,91576,1194,lv,,lv,,11/6/18 8:57,,http://stpetepolls.org/files/StPetePolls_2018_CD15_GEN_November5_WHB2.pdf,538,FALSE,,268,2018,U.S. House,15,District 15,11/6/18,general,FALSE,FALSE,DEM,Carlson,12518,Kristen Carlson,44.3
56821,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,314,St. Pete Polls,B+,IVR,Florida,11/5/18,11/5/18,,,,91576,1194,lv,,lv,,11/6/18 8:57,,http://stpetepolls.org/files/StPetePolls_2018_CD15_GEN_November5_WHB2.pdf,538,FALSE,,268,2018,U.S. House,15,District 15,11/6/18,general,FALSE,FALSE,REP,Spano,11594,Ross Spano,46.2
56760,1365,Change Research,,,Change Research,48,Change Research,B-,Online,South Dakota,11/2/18,11/4/18,,,,91455,851,lv,,lv,,11/5/18 0:10,,https://twitter.com/ChangePolls/status/1059301248380223488,538,FALSE,,518,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,DEM,Bjorkman,11389,Tim Bjorkman,41
56760,1365,Change Research,,,Change Research,48,Change Research,B-,Online,South Dakota,11/2/18,11/4/18,,,,91455,851,lv,,lv,,11/5/18 0:10,,https://twitter.com/ChangePolls/status/1059301248380223488,538,FALSE,,518,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,REP,Johnson,11388,Dusty Johnson,51
56760,1365,Change Research,,,Change Research,48,Change Research,B-,Online,South Dakota,11/2/18,11/4/18,,,,91455,851,lv,,lv,,11/5/18 0:10,,https://twitter.com/ChangePolls/status/1059301248380223488,538,FALSE,,518,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,IND,Wieczorek,13222,Ronald Wieczorek,3
56760,1365,Change Research,,,Change Research,48,Change Research,B-,Online,South Dakota,11/2/18,11/4/18,,,,91455,851,lv,,lv,,11/5/18 0:10,,https://twitter.com/ChangePolls/status/1059301248380223488,538,FALSE,,518,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,LIB,Hendrickson,13223,George D. Hendrickson,2
56761,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Wyoming,11/2/18,11/4/18,,,,91456,858,lv,,lv,,11/5/18 0:11,,https://twitter.com/ChangePolls/status/1059302464313188352,538,FALSE,,601,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,DEM,Hunter,13247,Greg Hunter,28
56761,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Wyoming,11/2/18,11/4/18,,,,91456,858,lv,,lv,,11/5/18 0:11,,https://twitter.com/ChangePolls/status/1059302464313188352,538,FALSE,,601,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,REP,Cheney,12154,Liz Cheney,55
56761,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Wyoming,11/2/18,11/4/18,,,,91456,858,lv,,lv,,11/5/18 0:11,,https://twitter.com/ChangePolls/status/1059302464313188352,538,FALSE,,601,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,LIB,Brubaker,13248,Richard P. Brubaker,7
56761,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Wyoming,11/2/18,11/4/18,,,,91456,858,lv,,lv,,11/5/18 0:11,,https://twitter.com/ChangePolls/status/1059302464313188352,538,FALSE,,601,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,CON,Cummings,13249,Daniel Clyde Cummings,6
56762,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Montana,11/2/18,11/4/18,,,,91452,879,lv,,lv,,11/5/18 0:09,,https://twitter.com/ChangePolls/status/1059294632163438592,538,FALSE,,399,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,DEM,Williams,11175,Kathleen Williams,44
56762,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Montana,11/2/18,11/4/18,,,,91452,879,lv,,lv,,11/5/18 0:09,,https://twitter.com/ChangePolls/status/1059294632163438592,538,FALSE,,399,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,REP,Gianforte,11176,Greg Gianforte,52
56762,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Montana,11/2/18,11/4/18,,,,91452,879,lv,,lv,,11/5/18 0:09,,https://twitter.com/ChangePolls/status/1059294632163438592,538,FALSE,,399,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,LIB,Swanson,13184,Elinor Swanson,2
56788,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Georgia,11/2/18,11/4/18,,,,91510,395,lv,,lv,,11/5/18 14:36,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,286,2018,U.S. House,6,District 6,11/6/18,general,FALSE,FALSE,DEM,McBath,11647,Lucy McBath,51
56788,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Georgia,11/2/18,11/4/18,,,,91510,395,lv,,lv,,11/5/18 14:36,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,286,2018,U.S. House,6,District 6,11/6/18,general,FALSE,FALSE,REP,Handel,11648,Karen Handel,45
56790,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,North Carolina,11/2/18,11/4/18,,,,91513,567,lv,,lv,,11/5/18 14:37,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,412,2018,U.S. House,13,District 13,11/6/18,general,FALSE,FALSE,DEM,Manning,11181,Kathy Manning,43
56790,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,North Carolina,11/2/18,11/4/18,,,,91513,567,lv,,lv,,11/5/18 14:37,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,412,2018,U.S. House,13,District 13,11/6/18,general,FALSE,FALSE,REP,Budd,11182,Ted Budd,43
56790,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,North Carolina,11/2/18,11/4/18,,,,91513,567,lv,,lv,,11/5/18 14:37,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,412,2018,U.S. House,13,District 13,11/6/18,general,FALSE,FALSE,LIB,Bailey,11350,Thomas Aaron Bailey,2
56790,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,North Carolina,11/2/18,11/4/18,,,,91513,567,lv,,lv,,11/5/18 14:37,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,412,2018,U.S. House,13,District 13,11/6/18,general,FALSE,FALSE,GRE,Corriher,11351,Robert Corriher,1
56791,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Virginia,11/2/18,11/4/18,,,,91515,710,lv,,lv,,11/5/18 14:37,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,569,2018,U.S. House,2,District 2,11/6/18,general,FALSE,FALSE,DEM,Luria,11192,Elaine G. Luria,47
56791,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Virginia,11/2/18,11/4/18,,,,91515,710,lv,,lv,,11/5/18 14:37,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,569,2018,U.S. House,2,District 2,11/6/18,general,FALSE,FALSE,REP,Taylor,11193,Scott W. Taylor,47
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,,,91554,460,lv,,lv,,11/5/18 18:59,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,370,2018,U.S. House,6,District 6,11/6/18,general,FALSE,FALSE,DEM,Longjohn,11792,Matt Longjohn,42
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,,,91554,460,lv,,lv,,11/5/18 18:59,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,370,2018,U.S. House,6,District 6,11/6/18,general,FALSE,FALSE,REP,Upton,11793,Fred Upton,40
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,,,91554,460,lv,,lv,,11/5/18 18:59,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,370,2018,U.S. House,6,District 6,11/6/18,general,FALSE,FALSE,UST,Young,13250,Stephen J. Young,3
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,,,91555,501,lv,,lv,,11/5/18 19:01,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,372,2018,U.S. House,8,District 8,11/6/18,general,FALSE,FALSE,DEM,Slotkin,11402,Elissa Slotkin,47
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,,,91555,501,lv,,lv,,11/5/18 19:01,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,372,2018,U.S. House,8,District 8,11/6/18,general,FALSE,FALSE,REP,Bishop,11401,Mike Bishop,46
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,,,91555,501,lv,,lv,,11/5/18 19:01,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,372,2018,U.S. House,8,District 8,11/6/18,general,FALSE,FALSE,LIB,Ellison,13204,Brian Ellison,3
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,,,91555,501,lv,,lv,,11/5/18 19:01,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,372,2018,U.S. House,8,District 8,11/6/18,general,FALSE,FALSE,UST,Lillis,13205,David Jay Lillis,0
56818,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Ohio,11/2/18,11/4/18,,,,91574,350,lv,,lv,,11/6/18 8:34,,https://twitter.com/ChangePolls/status/1059294038061277184,538,FALSE,,468,2018,U.S. House,4,District 4,11/6/18,general,FALSE,FALSE,DEM,Garrett,11946,Janet Garrett,36
56818,1365,Change Research,,,Change Research,48,Change Research,B-,Online,Ohio,11/2/18,11/4/18,,,,91574,350,lv,,lv,,11/6/18 8:34,,https://twitter.com/ChangePolls/status/1059294038061277184,538,FALSE,,468,2018,U.S. House,4,District 4,11/6/18,general,FALSE,FALSE,REP,Jordan,11947,Jim Jordan,60
56820,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Ohio,11/2/18,11/4/18,,,,91575,457,lv,,lv,,11/6/18 8:34,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,465,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,DEM,Pureval,11183,Aftab Pureval,44
56820,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Ohio,11/2/18,11/4/18,,,,91575,457,lv,,lv,,11/6/18 8:34,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,465,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,REP,Chabot,11184,Steve Chabot,47
56820,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Ohio,11/2/18,11/4/18,,,,91575,457,lv,,lv,,11/6/18 8:34,,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,FALSE,DEM,465,2018,U.S. House,1,District 1,11/6/18,general,FALSE,FALSE,LIB,Kubala,12575,Dirk Kubala,2
